product_name,category,brand,unit,quantity,price,store,image_url
Carrot,Other,Generic,1 pc,1,428,Blinkit,https://via.placeholder.com/200
Bitter gourd,Other,Generic,1 pc,1,337,Blinkit,https://via.placeholder.com/200
Brinjal,Other,Generic,1 pc,1,96,Instamart,https://via.placeholder.com/200
Cabbage,Other,Generic,1 pc,1,105,JioMart,https://via.placeholder.com/200
Carrot,Other,Generic,1 pc,1,410,JioMart,https://via.placeholder.com/200
Beetroot,Other,Generic,1 pc,1,62,Instamart,https://via.placeholder.com/200
Brinjal,Other,Generic,1 pc,1,196,Zepto,https://via.placeholder.com/200
Cluster beans,Other,Generic,1 pc,1,343,Zepto,https://via.placeholder.com/200
Pumpkin,Other,Generic,1 pc,1,474,Blinkit,https://via.placeholder.com/200
Potato,Other,Generic,1 pc,1,485,BigBasket,https://via.placeholder.com/200
Tomato,Other,Generic,1 pc,1,161,JioMart,https://via.placeholder.com/200
Cotton,Other,Generic,1 pc,1,449,Blinkit,https://via.placeholder.com/200
Dry Chillies,Other,Generic,1 pc,1,58,Instamart,https://via.placeholder.com/200
Castor Seed,Other,Generic,1 pc,1,15,Blinkit,https://via.placeholder.com/200
Pumpkin,Other,Generic,1 pc,1,323,BigBasket,https://via.placeholder.com/200
Bengal Gram (Gram)(Whole),Other,Generic,1 pc,1,408,JioMart,https://via.placeholder.com/200
Potato,Other,Generic,1 pc,1,76,Blinkit,https://via.placeholder.com/200
Onion,Other,Generic,1 pc,1,249,Blinkit,https://via.placeholder.com/200
Cowpea (Veg),Other,Generic,1 pc,1,460,JioMart,https://via.placeholder.com/200
Onion Green,Other,Generic,1 pc,1,482,Instamart,https://via.placeholder.com/200
Knool Khol,Other,Generic,1 pc,1,82,JioMart,https://via.placeholder.com/200
Lilly,Other,Generic,1 pc,1,61,JioMart,https://via.placeholder.com/200
Potato,Other,Generic,1 pc,1,34,JioMart,https://via.placeholder.com/200
Onion,Other,Generic,1 pc,1,284,BigBasket,https://via.placeholder.com/200
Dry Chillies,Other,Generic,1 pc,1,337,BigBasket,https://via.placeholder.com/200
Pumpkin,Other,Generic,1 pc,1,448,Zepto,https://via.placeholder.com/200
Potato,Other,Generic,1 pc,1,202,Zepto,https://via.placeholder.com/200
Gur (Jaggery),Other,Generic,1 pc,1,45,JioMart,https://via.placeholder.com/200
Cluster beans,Other,Generic,1 pc,1,455,BigBasket,https://via.placeholder.com/200
Paddy (Common),Other,Generic,1 pc,1,19,Blinkit,https://via.placeholder.com/200
Dry Chillies,Other,Generic,1 pc,1,157,JioMart,https://via.placeholder.com/200
Cabbage,Other,Generic,1 pc,1,353,Instamart,https://via.placeholder.com/200
Cotton,Other,Generic,1 pc,1,242,Instamart,https://via.placeholder.com/200
Foxtail Millet (Navane),Other,Generic,1 pc,1,491,BigBasket,https://via.placeholder.com/200
Ginger (Green),Other,Generic,1 pc,1,426,Zepto,https://via.placeholder.com/200
Raddish,Other,Generic,1 pc,1,242,Zepto,https://via.placeholder.com/200
Orange,Other,Generic,1 pc,1,152,Instamart,https://via.placeholder.com/200
Cauliflower,Other,Generic,1 pc,1,175,Blinkit,https://via.placeholder.com/200
Ginger (Green),Other,Generic,1 pc,1,227,Blinkit,https://via.placeholder.com/200
Raddish,Other,Generic,1 pc,1,375,JioMart,https://via.placeholder.com/200
Cauliflower,Other,Generic,1 pc,1,405,Instamart,https://via.placeholder.com/200
Brinjal,Other,Generic,1 pc,1,218,JioMart,https://via.placeholder.com/200
Cucumbar (Kheera),Other,Generic,1 pc,1,241,Zepto,https://via.placeholder.com/200
Knool Khol,Other,Generic,1 pc,1,334,BigBasket,https://via.placeholder.com/200
Pumpkin,Other,Generic,1 pc,1,32,JioMart,https://via.placeholder.com/200
Bitter gourd,Other,Generic,1 pc,1,435,Zepto,https://via.placeholder.com/200
Green Chilli,Other,Generic,1 pc,1,398,Zepto,https://via.placeholder.com/200
Onion,Other,Generic,1 pc,1,50,Instamart,https://via.placeholder.com/200
Potato,Other,Generic,1 pc,1,56,Instamart,https://via.placeholder.com/200
Paddy (Common),Other,Generic,1 pc,1,385,JioMart,https://via.placeholder.com/200
Bhindi (Ladies Finger),Other,Generic,1 pc,1,315,BigBasket,https://via.placeholder.com/200
Bitter gourd,Other,Generic,1 pc,1,28,Instamart,https://via.placeholder.com/200
Green Chilli,Other,Generic,1 pc,1,343,JioMart,https://via.placeholder.com/200
Cucumbar (Kheera),Other,Generic,1 pc,1,470,Blinkit,https://via.placeholder.com/200
Papaya (Raw),Other,Generic,1 pc,1,165,Instamart,https://via.placeholder.com/200
Paddy (Common),Other,Generic,1 pc,1,164,Zepto,https://via.placeholder.com/200
Maize,Other,Generic,1 pc,1,276,Zepto,https://via.placeholder.com/200
Onion,Other,Generic,1 pc,1,180,Zepto,https://via.placeholder.com/200
Sugar,Other,Generic,1 pc,1,386,BigBasket,https://via.placeholder.com/200
Banana - Green,Other,Generic,1 pc,1,70,Instamart,https://via.placeholder.com/200
Ajwan,Other,Generic,1 pc,1,416,BigBasket,https://via.placeholder.com/200
Green Chilli,Other,Generic,1 pc,1,419,Instamart,https://via.placeholder.com/200
Bottle gourd,Other,Generic,1 pc,1,175,Zepto,https://via.placeholder.com/200
Green Peas,Other,Generic,1 pc,1,362,JioMart,https://via.placeholder.com/200
Mustard Oil,Other,Generic,1 pc,1,335,Instamart,https://via.placeholder.com/200
Lentil (Masur)(Whole),Other,Generic,1 pc,1,240,Blinkit,https://via.placeholder.com/200
Dry Chillies,Other,Generic,1 pc,1,450,Blinkit,https://via.placeholder.com/200
Coriander (Leaves),Other,Generic,1 pc,1,473,Blinkit,https://via.placeholder.com/200
Carrot,Other,Generic,1 pc,1,304,Instamart,https://via.placeholder.com/200
Knool Khol,Other,Generic,1 pc,1,28,Zepto,https://via.placeholder.com/200
Cummin Seed (Jeera),Other,Generic,1 pc,1,49,Zepto,https://via.placeholder.com/200
Cauliflower,Other,Generic,1 pc,1,366,BigBasket,https://via.placeholder.com/200
Green Gram Dal (Moong Dal),Other,Generic,1 pc,1,383,JioMart,https://via.placeholder.com/200
Green Peas,Other,Generic,1 pc,1,139,BigBasket,https://via.placeholder.com/200
Rice,Other,Generic,1 pc,1,332,Blinkit,https://via.placeholder.com/200
Squash (Chappal Kadoo),Other,Generic,1 pc,1,225,Blinkit,https://via.placeholder.com/200
Apple,Other,Generic,1 pc,1,228,Zepto,https://via.placeholder.com/200
Betelnuts,Other,Generic,1 pc,1,232,Blinkit,https://via.placeholder.com/200
Groundnut,Other,Generic,1 pc,1,10,JioMart,https://via.placeholder.com/200
Bengal Gram (Gram)(Whole),Other,Generic,1 pc,1,353,Zepto,https://via.placeholder.com/200
"Sesamum (Sesame,Gingelly,Til)",Other,Generic,1 pc,1,314,Instamart,https://via.placeholder.com/200
Green Gram (Moong)(Whole),Other,Generic,1 pc,1,387,Zepto,https://via.placeholder.com/200
Bottle gourd,Other,Generic,1 pc,1,418,BigBasket,https://via.placeholder.com/200
Guar Seed (Cluster Beans Seed),Other,Generic,1 pc,1,123,BigBasket,https://via.placeholder.com/200
Maize,Other,Generic,1 pc,1,286,BigBasket,https://via.placeholder.com/200
Colacasia,Other,Generic,1 pc,1,208,JioMart,https://via.placeholder.com/200
Mango (Raw-Ripe),Other,Generic,1 pc,1,150,JioMart,https://via.placeholder.com/200
Maize,Other,Generic,1 pc,1,386,JioMart,https://via.placeholder.com/200
Peas Wet,Other,Generic,1 pc,1,279,BigBasket,https://via.placeholder.com/200
Maize,Other,Generic,1 pc,1,398,Instamart,https://via.placeholder.com/200
Cotton,Other,Generic,1 pc,1,14,BigBasket,https://via.placeholder.com/200
Bajra (Pearl Millet/Cumbu),Other,Generic,1 pc,1,31,Zepto,https://via.placeholder.com/200
Soyabean,Other,Generic,1 pc,1,26,Instamart,https://via.placeholder.com/200
Castor Seed,Other,Generic,1 pc,1,107,BigBasket,https://via.placeholder.com/200
Cotton,Other,Generic,1 pc,1,312,Zepto,https://via.placeholder.com/200
Cummin Seed (Jeera),Other,Generic,1 pc,1,118,JioMart,https://via.placeholder.com/200
Groundnut,Other,Generic,1 pc,1,324,Instamart,https://via.placeholder.com/200
"Sesamum (Sesame,Gingelly,Til)",Other,Generic,1 pc,1,215,Blinkit,https://via.placeholder.com/200
Soyabean,Other,Generic,1 pc,1,261,JioMart,https://via.placeholder.com/200
Green Chilli,Other,Generic,1 pc,1,110,Blinkit,https://via.placeholder.com/200
Paddy (Common),Other,Generic,1 pc,1,136,BigBasket,https://via.placeholder.com/200
Castor Seed,Other,Generic,1 pc,1,104,Instamart,https://via.placeholder.com/200
Bajra (Pearl Millet/Cumbu),Other,Generic,1 pc,1,84,JioMart,https://via.placeholder.com/200
Tapioca,Other,Generic,1 pc,1,456,Instamart,https://via.placeholder.com/200
Ginger (Green),Other,Generic,1 pc,1,421,BigBasket,https://via.placeholder.com/200
Bottle gourd,Other,Generic,1 pc,1,176,JioMart,https://via.placeholder.com/200
Pomegranate,Other,Generic,1 pc,1,490,Instamart,https://via.placeholder.com/200
Cowpea (Veg),Other,Generic,1 pc,1,462,Blinkit,https://via.placeholder.com/200
Sponge gourd,Other,Generic,1 pc,1,250,BigBasket,https://via.placeholder.com/200
Green Chilli,Other,Generic,1 pc,1,381,BigBasket,https://via.placeholder.com/200
Lemon,Other,Generic,1 pc,1,251,JioMart,https://via.placeholder.com/200
Apple,Other,Generic,1 pc,1,166,Blinkit,https://via.placeholder.com/200
Maize,Other,Generic,1 pc,1,385,Blinkit,https://via.placeholder.com/200
Chikoos (Sapota),Other,Generic,1 pc,1,51,Blinkit,https://via.placeholder.com/200
Methi (Leaves),Other,Generic,1 pc,1,183,Blinkit,https://via.placeholder.com/200
Elephant Yam (Suran)/Amorphophallus,Other,Generic,1 pc,1,314,Blinkit,https://via.placeholder.com/200
Wheat,Other,Generic,1 pc,1,247,JioMart,https://via.placeholder.com/200
Wheat,Other,Generic,1 pc,1,209,Blinkit,https://via.placeholder.com/200
Bhindi (Ladies Finger),Other,Generic,1 pc,1,30,Blinkit,https://via.placeholder.com/200
Mustard,Other,Generic,1 pc,1,304,Zepto,https://via.placeholder.com/200
Sweet Potato,Other,Generic,1 pc,1,53,Blinkit,https://via.placeholder.com/200
Mustard,Other,Generic,1 pc,1,68,Instamart,https://via.placeholder.com/200
Cummin Seed (Jeera),Other,Generic,1 pc,1,36,Blinkit,https://via.placeholder.com/200
Bajra (Pearl Millet/Cumbu),Other,Generic,1 pc,1,125,Blinkit,https://via.placeholder.com/200
Groundnut,Other,Generic,1 pc,1,87,Blinkit,https://via.placeholder.com/200
Wheat,Other,Generic,1 pc,1,138,Instamart,https://via.placeholder.com/200
Black Gram (Urd Beans)(Whole),Other,Generic,1 pc,1,76,BigBasket,https://via.placeholder.com/200
Bengal Gram (Gram)(Whole),Other,Generic,1 pc,1,214,Instamart,https://via.placeholder.com/200
Wheat,Other,Generic,1 pc,1,391,BigBasket,https://via.placeholder.com/200
Black Gram (Urd Beans)(Whole),Other,Generic,1 pc,1,242,JioMart,https://via.placeholder.com/200
Groundnut,Other,Generic,1 pc,1,67,BigBasket,https://via.placeholder.com/200
Rice,Other,Generic,1 pc,1,123,BigBasket,https://via.placeholder.com/200
Coriander (Leaves),Other,Generic,1 pc,1,484,BigBasket,https://via.placeholder.com/200
Garlic,Other,Generic,1 pc,1,350,JioMart,https://via.placeholder.com/200
"Sesamum (Sesame,Gingelly,Til)",Other,Generic,1 pc,1,301,JioMart,https://via.placeholder.com/200
Castor Seed,Other,Generic,1 pc,1,148,JioMart,https://via.placeholder.com/200
Pegeon Pea (Arhar Fali),Other,Generic,1 pc,1,310,Instamart,https://via.placeholder.com/200
Soanf,Other,Generic,1 pc,1,212,Instamart,https://via.placeholder.com/200
Cotton,Other,Generic,1 pc,1,152,JioMart,https://via.placeholder.com/200
Paddy (Common),Other,Generic,1 pc,1,295,Instamart,https://via.placeholder.com/200
Peas cod,Other,Generic,1 pc,1,178,JioMart,https://via.placeholder.com/200
Garlic,Other,Generic,1 pc,1,345,Zepto,https://via.placeholder.com/200
Black Gram (Urd Beans)(Whole),Other,Generic,1 pc,1,200,Zepto,https://via.placeholder.com/200
Bottle gourd,Other,Generic,1 pc,1,134,Blinkit,https://via.placeholder.com/200
Groundnut (Split),Other,Generic,1 pc,1,350,Blinkit,https://via.placeholder.com/200
Yam (Ratalu),Other,Generic,1 pc,1,28,Instamart,https://via.placeholder.com/200
Jowar (Sorghum),Other,Generic,1 pc,1,476,JioMart,https://via.placeholder.com/200
Corriander seed,Other,Generic,1 pc,1,420,Instamart,https://via.placeholder.com/200
Black Gram (Urd Beans)(Whole),Other,Generic,1 pc,1,499,Blinkit,https://via.placeholder.com/200
Cucumbar (Kheera),Other,Generic,1 pc,1,416,JioMart,https://via.placeholder.com/200
Castor Seed,Other,Generic,1 pc,1,91,Zepto,https://via.placeholder.com/200
Corriander seed,Other,Generic,1 pc,1,452,Zepto,https://via.placeholder.com/200
Capsicum,Other,Generic,1 pc,1,494,JioMart,https://via.placeholder.com/200
Cowpea (Veg),Other,Generic,1 pc,1,222,Zepto,https://via.placeholder.com/200
Cummin Seed (Jeera),Other,Generic,1 pc,1,35,Instamart,https://via.placeholder.com/200
Papaya,Other,Generic,1 pc,1,231,Zepto,https://via.placeholder.com/200
Red Gram,Other,Generic,1 pc,1,84,JioMart,https://via.placeholder.com/200
Onion,Other,Generic,1 pc,1,91,JioMart,https://via.placeholder.com/200
Methi (Leaves),Other,Generic,1 pc,1,467,BigBasket,https://via.placeholder.com/200
Lemon,Other,Generic,1 pc,1,54,BigBasket,https://via.placeholder.com/200
Ajwan,Other,Generic,1 pc,1,267,Instamart,https://via.placeholder.com/200
Methi Seeds,Other,Generic,1 pc,1,356,Instamart,https://via.placeholder.com/200
Guar Seed (Cluster Beans Seed),Other,Generic,1 pc,1,269,Instamart,https://via.placeholder.com/200
Jowar (Sorghum),Other,Generic,1 pc,1,193,Instamart,https://via.placeholder.com/200
Black Gram (Urd Beans)(Whole),Other,Generic,1 pc,1,41,Instamart,https://via.placeholder.com/200
Jowar (Sorghum),Other,Generic,1 pc,1,242,BigBasket,https://via.placeholder.com/200
"Sesamum (Sesame,Gingelly,Til)",Other,Generic,1 pc,1,392,BigBasket,https://via.placeholder.com/200
Cabbage,Other,Generic,1 pc,1,353,BigBasket,https://via.placeholder.com/200
Grapes,Other,Generic,1 pc,1,484,Instamart,https://via.placeholder.com/200
Mousambi (Sweet Lime),Other,Generic,1 pc,1,317,JioMart,https://via.placeholder.com/200
Wheat,Other,Generic,1 pc,1,278,Zepto,https://via.placeholder.com/200
Guar,Other,Generic,1 pc,1,159,Zepto,https://via.placeholder.com/200
Bhindi (Ladies Finger),Other,Generic,1 pc,1,249,JioMart,https://via.placeholder.com/200
Soyabean,Other,Generic,1 pc,1,434,BigBasket,https://via.placeholder.com/200
Corriander seed,Other,Generic,1 pc,1,393,JioMart,https://via.placeholder.com/200
Little gourd (Kundru),Other,Generic,1 pc,1,296,JioMart,https://via.placeholder.com/200
Ginger (Green),Other,Generic,1 pc,1,183,JioMart,https://via.placeholder.com/200
Soyabean,Other,Generic,1 pc,1,460,Blinkit,https://via.placeholder.com/200
Guar,Other,Generic,1 pc,1,208,Instamart,https://via.placeholder.com/200
Bhindi (Ladies Finger),Other,Generic,1 pc,1,158,Zepto,https://via.placeholder.com/200
Capsicum,Other,Generic,1 pc,1,486,Instamart,https://via.placeholder.com/200
Papaya,Other,Generic,1 pc,1,210,Instamart,https://via.placeholder.com/200
Elephant Yam (Suran)/Amorphophallus,Other,Generic,1 pc,1,198,Zepto,https://via.placeholder.com/200
French Beans (Frasbean),Other,Generic,1 pc,1,103,Blinkit,https://via.placeholder.com/200
Ridgeguard (Tori),Other,Generic,1 pc,1,195,Zepto,https://via.placeholder.com/200
Methi (Leaves),Other,Generic,1 pc,1,19,Zepto,https://via.placeholder.com/200
Soyabean,Other,Generic,1 pc,1,94,Zepto,https://via.placeholder.com/200
Arhar (Tur/Red Gram)(Whole),Other,Generic,1 pc,1,87,BigBasket,https://via.placeholder.com/200
Soanf,Other,Generic,1 pc,1,237,BigBasket,https://via.placeholder.com/200
Ginger (Green),Other,Generic,1 pc,1,20,Instamart,https://via.placeholder.com/200
Little gourd (Kundru),Other,Generic,1 pc,1,371,Instamart,https://via.placeholder.com/200
Spinach,Other,Generic,1 pc,1,89,Blinkit,https://via.placeholder.com/200
Amla (Nelli Kai),Other,Generic,1 pc,1,142,Blinkit,https://via.placeholder.com/200
Coriander (Leaves),Other,Generic,1 pc,1,190,Instamart,https://via.placeholder.com/200
French Beans (Frasbean),Other,Generic,1 pc,1,499,Instamart,https://via.placeholder.com/200
Gram Raw (Chholia),Other,Generic,1 pc,1,194,Instamart,https://via.placeholder.com/200
Jowar (Sorghum),Other,Generic,1 pc,1,162,Zepto,https://via.placeholder.com/200
Guava,Other,Generic,1 pc,1,214,Instamart,https://via.placeholder.com/200
Chikoos (Sapota),Other,Generic,1 pc,1,389,BigBasket,https://via.placeholder.com/200
Banana,Other,Generic,1 pc,1,285,JioMart,https://via.placeholder.com/200
Banana,Other,Generic,1 pc,1,229,BigBasket,https://via.placeholder.com/200
Dry Fodder,Other,Generic,1 pc,1,233,BigBasket,https://via.placeholder.com/200
Tinda,Other,Generic,1 pc,1,328,JioMart,https://via.placeholder.com/200
Chikoos (Sapota),Other,Generic,1 pc,1,370,JioMart,https://via.placeholder.com/200
Carrot,Other,Generic,1 pc,1,401,BigBasket,https://via.placeholder.com/200
Apple,Other,Generic,1 pc,1,364,Instamart,https://via.placeholder.com/200
Coriander (Leaves),Other,Generic,1 pc,1,360,JioMart,https://via.placeholder.com/200
Pineapple,Other,Generic,1 pc,1,243,Blinkit,https://via.placeholder.com/200
Paddy (Basmati),Other,Generic,1 pc,1,477,JioMart,https://via.placeholder.com/200
Guava,Other,Generic,1 pc,1,102,BigBasket,https://via.placeholder.com/200
Mataki,Other,Generic,1 pc,1,357,JioMart,https://via.placeholder.com/200
Tender Coconut,Other,Generic,1 pc,1,331,Instamart,https://via.placeholder.com/200
Chikoos (Sapota),Other,Generic,1 pc,1,374,Instamart,https://via.placeholder.com/200
Pineapple,Other,Generic,1 pc,1,343,JioMart,https://via.placeholder.com/200
Water Melon,Other,Generic,1 pc,1,125,JioMart,https://via.placeholder.com/200
Raddish,Other,Generic,1 pc,1,44,Instamart,https://via.placeholder.com/200
Paddy (Basmati),Other,Generic,1 pc,1,18,Instamart,https://via.placeholder.com/200
Paddy (Basmati),Other,Generic,1 pc,1,211,Blinkit,https://via.placeholder.com/200
Apple,Other,Generic,1 pc,1,349,BigBasket,https://via.placeholder.com/200
Water Melon,Other,Generic,1 pc,1,475,Instamart,https://via.placeholder.com/200
Round gourd,Other,Generic,1 pc,1,483,JioMart,https://via.placeholder.com/200
Paddy (Basmati),Other,Generic,1 pc,1,214,Zepto,https://via.placeholder.com/200
Squash (Chappal Kadoo),Other,Generic,1 pc,1,236,Instamart,https://via.placeholder.com/200
Garlic,Other,Generic,1 pc,1,180,BigBasket,https://via.placeholder.com/200
Banana,Other,Generic,1 pc,1,71,Zepto,https://via.placeholder.com/200
Pomegranate,Other,Generic,1 pc,1,97,BigBasket,https://via.placeholder.com/200
Guava,Other,Generic,1 pc,1,455,Zepto,https://via.placeholder.com/200
Onion Green,Other,Generic,1 pc,1,187,JioMart,https://via.placeholder.com/200
Peas Wet,Other,Generic,1 pc,1,93,Zepto,https://via.placeholder.com/200
Ber (Zizyphus/Borehannu),Other,Generic,1 pc,1,130,Blinkit,https://via.placeholder.com/200
Kinnow,Other,Generic,1 pc,1,440,Instamart,https://via.placeholder.com/200
Cucumbar (Kheera),Other,Generic,1 pc,1,137,BigBasket,https://via.placeholder.com/200
Spinach,Other,Generic,1 pc,1,24,JioMart,https://via.placeholder.com/200
Grapes,Other,Generic,1 pc,1,173,Blinkit,https://via.placeholder.com/200
Pomegranate,Other,Generic,1 pc,1,452,Blinkit,https://via.placeholder.com/200
Peas Wet,Other,Generic,1 pc,1,484,Blinkit,https://via.placeholder.com/200
Turmeric (raw),Other,Generic,1 pc,1,455,Zepto,https://via.placeholder.com/200
Peas Wet,Other,Generic,1 pc,1,80,Instamart,https://via.placeholder.com/200
Pegeon Pea (Arhar Fali),Other,Generic,1 pc,1,329,BigBasket,https://via.placeholder.com/200
Banana,Other,Generic,1 pc,1,211,Instamart,https://via.placeholder.com/200
Guar,Other,Generic,1 pc,1,462,Blinkit,https://via.placeholder.com/200
Peas Wet,Other,Generic,1 pc,1,46,JioMart,https://via.placeholder.com/200
Guar Seed (Cluster Beans Seed),Other,Generic,1 pc,1,347,Zepto,https://via.placeholder.com/200
Bajra (Pearl Millet/Cumbu),Other,Generic,1 pc,1,359,BigBasket,https://via.placeholder.com/200
Seetapal,Other,Generic,1 pc,1,377,Instamart,https://via.placeholder.com/200
Bengal Gram (Gram)(Whole),Other,Generic,1 pc,1,55,Blinkit,https://via.placeholder.com/200
Green Gram (Moong)(Whole),Other,Generic,1 pc,1,285,Blinkit,https://via.placeholder.com/200
Orange,Other,Generic,1 pc,1,103,Zepto,https://via.placeholder.com/200
Chikoos (Sapota),Other,Generic,1 pc,1,495,Zepto,https://via.placeholder.com/200
Paddy (Basmati),Other,Generic,1 pc,1,85,BigBasket,https://via.placeholder.com/200
Lemon,Other,Generic,1 pc,1,156,Instamart,https://via.placeholder.com/200
Capsicum,Other,Generic,1 pc,1,23,Blinkit,https://via.placeholder.com/200
Bitter gourd,Other,Generic,1 pc,1,168,BigBasket,https://via.placeholder.com/200
Mousambi (Sweet Lime),Other,Generic,1 pc,1,198,Zepto,https://via.placeholder.com/200
Cowpea (Veg),Other,Generic,1 pc,1,132,Instamart,https://via.placeholder.com/200
Cluster beans,Other,Generic,1 pc,1,211,JioMart,https://via.placeholder.com/200
Apple,Other,Generic,1 pc,1,420,JioMart,https://via.placeholder.com/200
Spinach,Other,Generic,1 pc,1,143,Instamart,https://via.placeholder.com/200
Spinach,Other,Generic,1 pc,1,392,Zepto,https://via.placeholder.com/200
Turnip,Other,Generic,1 pc,1,195,Blinkit,https://via.placeholder.com/200
Pineapple,Other,Generic,1 pc,1,382,Zepto,https://via.placeholder.com/200
Garlic,Other,Generic,1 pc,1,161,Blinkit,https://via.placeholder.com/200
Guava,Other,Generic,1 pc,1,322,Blinkit,https://via.placeholder.com/200
Mashrooms,Other,Generic,1 pc,1,421,Blinkit,https://via.placeholder.com/200
Sunflower,Other,Generic,1 pc,1,365,Blinkit,https://via.placeholder.com/200
Beetroot,Other,Generic,1 pc,1,339,Blinkit,https://via.placeholder.com/200
Coconut,Other,Generic,1 pc,1,133,JioMart,https://via.placeholder.com/200
Raddish,Other,Generic,1 pc,1,221,BigBasket,https://via.placeholder.com/200
Peas cod,Other,Generic,1 pc,1,227,Instamart,https://via.placeholder.com/200
Pineapple,Other,Generic,1 pc,1,431,BigBasket,https://via.placeholder.com/200
Indian Colza (Sarson),Other,Generic,1 pc,1,265,JioMart,https://via.placeholder.com/200
Arecanut (Betelnut/Supari),Other,Generic,1 pc,1,276,Zepto,https://via.placeholder.com/200
Kinnow,Other,Generic,1 pc,1,313,Zepto,https://via.placeholder.com/200
Raddish,Other,Generic,1 pc,1,186,Blinkit,https://via.placeholder.com/200
Colacasia,Other,Generic,1 pc,1,109,BigBasket,https://via.placeholder.com/200
Peas cod,Other,Generic,1 pc,1,64,BigBasket,https://via.placeholder.com/200
Arecanut (Betelnut/Supari),Other,Generic,1 pc,1,314,JioMart,https://via.placeholder.com/200
Season Leaves,Other,Generic,1 pc,1,391,BigBasket,https://via.placeholder.com/200
Guava,Other,Generic,1 pc,1,126,JioMart,https://via.placeholder.com/200
Ridgeguard (Tori),Other,Generic,1 pc,1,183,BigBasket,https://via.placeholder.com/200
Beans,Other,Generic,1 pc,1,332,Instamart,https://via.placeholder.com/200
Ladies Finger,Other,Generic,1 pc,1,356,Instamart,https://via.placeholder.com/200
Ladies Finger,Other,Generic,1 pc,1,240,JioMart,https://via.placeholder.com/200
Ashgourd,Other,Generic,1 pc,1,376,Blinkit,https://via.placeholder.com/200
Banana - Green,Other,Generic,1 pc,1,132,Blinkit,https://via.placeholder.com/200
Pomegranate,Other,Generic,1 pc,1,112,Zepto,https://via.placeholder.com/200
Tapioca,Other,Generic,1 pc,1,54,JioMart,https://via.placeholder.com/200
Garlic,Other,Generic,1 pc,1,479,Instamart,https://via.placeholder.com/200
Indian Beans (Seam),Other,Generic,1 pc,1,76,Instamart,https://via.placeholder.com/200
Mashrooms,Other,Generic,1 pc,1,83,Instamart,https://via.placeholder.com/200
Turnip,Other,Generic,1 pc,1,105,Instamart,https://via.placeholder.com/200
Snakeguard,Other,Generic,1 pc,1,419,Blinkit,https://via.placeholder.com/200
Orange,Other,Generic,1 pc,1,141,JioMart,https://via.placeholder.com/200
Papaya,Other,Generic,1 pc,1,161,Blinkit,https://via.placeholder.com/200
Ridgeguard (Tori),Other,Generic,1 pc,1,128,Blinkit,https://via.placeholder.com/200
Sweet Potato,Other,Generic,1 pc,1,183,BigBasket,https://via.placeholder.com/200
Round gourd,Other,Generic,1 pc,1,496,Zepto,https://via.placeholder.com/200
Capsicum,Other,Generic,1 pc,1,122,BigBasket,https://via.placeholder.com/200
Mousambi (Sweet Lime),Other,Generic,1 pc,1,352,Blinkit,https://via.placeholder.com/200
Beans,Other,Generic,1 pc,1,128,Zepto,https://via.placeholder.com/200
Chilly Capsicum,Other,Generic,1 pc,1,429,Instamart,https://via.placeholder.com/200
